seconds,particles_p1,particles_p2,o3_data
1541566869,0,840,0.712062
1541566959,0,773,0.71191
1541567049,0,594,0.715114
1541567139,82,942,0.714275
1541567229,0,700,0.71519
1541567319,0,574,0.715496
1541567409,609,4500,0.730678
1541567499,24,851,0.724689
1541567589,0,682,0.725834
1541567679,0,656,0.725834
1541567769,0,901,0.72446
1541567859,0,750,0.724002
1541567949,0,706,0.724193
1541568039,0,537,0.724269
1541568129,0,956,0.723888
1541568219,80,923,0.723392
1541568309,0,799,0.723163
1541568399,0,685,0.723659
1541568489,0,641,0.721675
1541568579,0,662,0.72446
1541568669,0,814,0.723125
1541568759,0,593,0.722858
1541568849,33,869,0.723697
1541568939,0,696,0.723201
1541569029,0,809,0.723163
1541569119,0,585,0.72343
1541569209,0,688,0.724994
1541569299,0,735,0.723163
1541569389,0,765,0.723278
1541569479,0,806,0.722553
1541569569,0,550,0.722858
1541569659,0,708,0.722553
1541569749,0,884,0.722591
1541569839,0,914,0.718128
1541569929,0,782,0.727626
1541570019,0,1033,0.721942
1541570109,0,549,0.723011
1541570199,0,836,0.722896
1541570289,16,690,0.722553
1541570379,0,782,0.722515
1541570469,0,753,0.727932
1541570559,0,653,0.72282
1541570649,0,655,0.727169
1541570739,0,743,0.721065
1541570829,0,599,0.721981
1541570919,0,759,0.72179
1541571009,52,815,0.723507
1541571099,0,908,0.723735
1541571189,0,699,0.72385
1541571279,0,813,0.723964
1541571369,0,747,0.723774
1541571459,0,762,0.724422
1541571549,0,873,0.724346
1541571639,0,675,0.724384
1541571729,0,701,0.725719
1541571819,0,660,0.724994
1541571909,0,822,0.723888
1541571999,0,623,0.724536
1541572089,0,750,0.723125
1541572179,0,840,0.723011
1541572269,0,1041,0.724498
1541572359,0,605,0.723621
1541572449,0,675,0.723392
1541572539,0,809,0.723011
1541572629,0,632,0.723392
1541572719,0,605,0.722934
1541572809,0,655,0.722705
1541572899,0,676,0.725414
1541572989,0,660,0.724575
1541573079,0,700,0.724346
1541573169,0,733,0.724727
1541573259,0,684,0.725376
1541573349,0,742,0.724727
1541573439,0,798,0.724575
1541573529,0,720,0.72488
1541573619,0,827,0.726215
1541573709,0,847,0.72591
1541573799,0,874,0.725643
1541573889,0,739,0.726215
1541573979,0,777,0.72591
1541574069,0,606,0.725071
1541574159,0,774,0.725223
1541574249,0,790,0.724956
1541574339,12,994,0.724804
1541574429,0,669,0.724613
1541574519,0,907,0.724308
1541574609,0,789,0.724346
1541574699,0,822,0.724308
1541574789,0,636,0.724804
1541574879,0,617,0.724384
1541574969,0,664,0.724689
1541575059,0,542,0.724002
1541575149,0,745,0.724269
1541575239,0,679,0.724079
1541575329,0,525,0.724117
1541575419,0,686,0.725376
1541575509,0,656,0.725147
1541575599,0,763,0.725338
1541575689,0,787,0.726291
1541575779,0,739,0.725376
1541653272,0,782,0.725147
1541653383,0,803,0.725338
1541653452,0,791,0.724918
1541653542,74,741,0.725261
1541653633,0,827,0.724689
1541739669,0,800,0.724765
1541739770,0,535,0.724842
1541739849,0,796,0.72446
1541739939,0,699,0.723697
1541740029,0,601,0.723888
1541740119,0,701,0.723392
1541826076,0,827,0.724765
1541826176,0,930,0.723316
1541826257,0,991,0.723735
1541826346,0,424,0.724765
1541826437,0,766,0.725414
1541826527,0,739,0.725032
1541826617,0,648,0.725147
1541826706,0,807,0.724842
1541826797,0,680,0.72488
1541826887,29,716,0.724422
1541826977,0,633,0.723507
1541827066,0,696,0.725223
1541827157,105,1118,0.724842
1541827247,0,618,0.724498
1541827337,0,575,0.724651
1541827426,0,720,0.724689
1541827517,0,821,0.723697
1541827607,0,887,0.723583
1541912469,0,865,0.723239
1541912568,0,939,0.72343
1541912649,0,762,0.722896
1541912739,0,862,0.722477
1541912829,27,930,0.722896
1541998882,0,562,0.721294
1541998972,0,737,0.721485
1541999062,0,704,0.721637
1541999152,0,700,0.720989
1541999242,0,708,0.721523
1541999332,0,867,0.720569
1541999422,0,998,0.720569
1541999512,0,526,0.719959
1541999602,0,799,0.720302
1541999692,0,675,0.718357
1541999782,0,905,0.719158
1541999872,0,579,0.719844
1541999962,0,575,0.720188
